Date,Population (P),Cumulative_cases,Cumulative_deaths
11/4/2020 0:00,10257557,320855,7274
11/5/2020 0:00,10257557,323167,7284
11/6/2020 0:00,10257557,325522,7302
11/7/2020 0:00,10257557,327492,7315
11/8/2020 0:00,10257557,329005,7330
11/9/2020 0:00,10257557,332133,7347
11/10/2020 0:00,10257557,335229,7364
11/11/2020 0:00,10257557,338482,7377
11/12/2020 0:00,10257557,341853,7397
11/13/2020 0:00,10257557,345599,7419
11/14/2020 0:00,10257557,348729,7436
11/15/2020 0:00,10257557,351439,7459
11/16/2020 0:00,10257557,356488,7485
11/17/2020 0:00,10257557,361247,7520
11/18/2020 0:00,10257557,366202,7542
11/19/2020 0:00,10257557,371084,7578
11/20/2020 0:00,10257557,376113,7602
11/21/2020 0:00,10257557,380009,7636
11/22/2020 0:00,10257557,383196,7673
11/23/2020 0:00,10257557,389484,7712
11/24/2020 0:00,10257557,395594,7746
11/25/2020 0:00,10257557,401904,7784
11/26/2020 0:00,10257557,404932,7817
11/27/2020 0:00,10257557,410101,7851
11/28/2020 0:00,10257557,416626,7897
11/29/2020 0:00,10257557,421545,7932
11/30/2020 0:00,10257557,431955,7980
12/1/2020 0:00,10257557,442638,8033
12/2/2020 0:00,10257557,453018,8086
12/3/2020 0:00,10257557,463076,8159
12/4/2020 0:00,10257557,473178,8219
12/5/2020 0:00,10257557,481800,8287
12/6/2020 0:00,10257557,487599,8349
12/7/2020 0:00,10257557,501198,8436
12/8/2020 0:00,10257557,514873,8501
12/9/2020 0:00,10257557,527589,8572
12/10/2020 0:00,10257557,541096,8668
12/11/2020 0:00,10257557,555080,8786
12/12/2020 0:00,10257557,566892,8886
12/13/2020 0:00,10257557,573712,9005
12/14/2020 0:00,10257557,591357,9131
12/15/2020 0:00,10257557,609006,9247
12/16/2020 0:00,10257557,625411,9383
12/17/2020 0:00,10257557,641957,9529
12/18/2020 0:00,10257557,657643,9693
12/19/2020 0:00,10257557,669796,9855
12/20/2020 0:00,10257557,676924,10029
12/21/2020 0:00,10257557,695034,10217
12/22/2020 0:00,10257557,714134,10399
12/23/2020 0:00,10257557,731413,10587
12/24/2020 0:00,10257557,740489,10803
12/25/2020 0:00,10257557,744684,11006
12/26/2020 0:00,10257557,758359,11252
12/27/2020 0:00,10257557,766940,11514
12/28/2020 0:00,10257557,788476,11751
12/29/2020 0:00,10257557,810843,11950
12/30/2020 0:00,10257557,831058,12191
12/31/2020 0:00,10257557,841981,12468
1/1/2021 0:00,10257557,847328,12745
1/2/2021 0:00,10257557,861549,12999
1/3/2021 0:00,10257557,869925,13279
1/4/2021 0:00,10257557,891995,13575
1/5/2021 0:00,10257557,912147,13858
1/6/2021 0:00,10257557,930886,14164
1/7/2021 0:00,10257557,946849,14443
1/8/2021 0:00,10257557,961774,14731
1/9/2021 0:00,10257557,972588,15033
1/10/2021 0:00,10257557,978171,15334
1/11/2021 0:00,10257557,992792,15634
1/12/2021 0:00,10257557,1006020,15926
1/13/2021 0:00,10257557,1017684,16186
1/14/2021 0:00,10257557,1028479,16465
1/15/2021 0:00,10257557,1038507,16765
1/16/2021 0:00,10257557,1045561,17015
1/17/2021 0:00,10257557,1049648,17281
1/18/2021 0:00,10257557,1056312,17530
1/19/2021 0:00,10257557,1065824,17746
1/20/2021 0:00,10257557,1074498,17989
1/21/2021 0:00,10257557,1082000,18208
1/22/2021 0:00,10257557,1088666,18428
1/23/2021 0:00,10257557,1093136,18632
1/24/2021 0:00,10257557,1096376,18798
1/25/2021 0:00,10257557,1102798,19035
1/26/2021 0:00,10257557,1108762,19224
1/27/2021 0:00,10257557,1114054,19390
1/28/2021 0:00,10257557,1118867,19579
1/29/2021 0:00,10257557,1122780,19754
1/30/2021 0:00,10257557,1126277,19938
1/31/2021 0:00,10257557,1128674,20103
2/1/2021 0:00,10257557,1133307,20290
2/2/2021 0:00,10257557,1137136,20443
2/3/2021 0:00,10257557,1140518,20604
2/4/2021 0:00,10257557,1143603,20741
2/5/2021 0:00,10257557,1146402,20905
2/6/2021 0:00,10257557,1148503,21024
2/7/2021 0:00,10257557,1149859,21154
2/8/2021 0:00,10257557,1152621,21304
2/9/2021 0:00,10257557,1154718,21427
2/10/2021 0:00,10257557,1156696,21548
2/11/2021 0:00,10257557,1158444,21694
2/12/2021 0:00,10257557,1160072,21805
2/13/2021 0:00,10257557,1161286,21894
2/14/2021 0:00,10257557,1162145,21987
2/15/2021 0:00,10257557,1163491,22078
2/16/2021 0:00,10257557,1164878,22181
2/17/2021 0:00,10257557,1166132,22273
2/18/2021 0:00,10257557,1167187,22374
2/19/2021 0:00,10257557,1168138,22473
2/20/2021 0:00,10257557,1168890,22543
2/21/2021 0:00,10257557,1169460,22623
2/22/2021 0:00,10257557,1170502,22700
2/23/2021 0:00,10257557,1171362,22758
2/24/2021 0:00,10257557,1172235,22829
2/25/2021 0:00,10257557,1172994,22899
2/26/2021 0:00,10257557,1173742,22969
2/27/2021 0:00,10257557,1174319,23032
2/28/2021 0:00,10257557,1174820,23111
3/1/2021 0:00,10257557,1175608,23167
3/2/2021 0:00,10257557,1176267,23219
3/3/2021 0:00,10257557,1176904,23266
3/4/2021 0:00,10257557,1177543,23313
3/5/2021 0:00,10257557,1178154,23355
3/6/2021 0:00,10257557,1178646,23392
3/7/2021 0:00,10257557,1179086,23429
3/8/2021 0:00,10257557,1179813,23466
3/9/2021 0:00,10257557,1180434,23500
3/10/2021 0:00,10257557,1181031,23534
3/11/2021 0:00,10257557,1181578,23562
3/12/2021 0:00,10257557,1182111,23601
3/13/2021 0:00,10257557,1182506,23638
3/14/2021 0:00,10257557,1182824,23664
3/15/2021 0:00,10257557,1183401,23679
3/16/2021 0:00,10257557,1183973,23707
3/17/2021 0:00,10257557,1184505,23738
3/18/2021 0:00,10257557,1184959,23772
3/19/2021 0:00,10257557,1185392,23798
3/20/2021 0:00,10257557,1185732,23829
3/21/2021 0:00,10257557,1186030,23849
3/22/2021 0:00,10257557,1186566,23869
3/23/2021 0:00,10257557,1187083,23884
3/24/2021 0:00,10257557,1187604,23902
3/25/2021 0:00,10257557,1188091,23922
3/26/2021 0:00,10257557,1188529,23942
3/27/2021 0:00,10257557,1188865,23960
3/28/2021 0:00,10257557,1189179,23973
3/29/2021 0:00,10257557,1189731,23986
3/30/2021 0:00,10257557,1190228,24000
3/31/2021 0:00,10257557,1190724,24012
4/1/2021 0:00,10257557,1191192,24024
4/2/2021 0:00,10257557,1191685,24035
4/3/2021 0:00,10257557,1191994,24042
4/4/2021 0:00,10257557,1192300,24057
4/5/2021 0:00,10257557,1192845,24072
4/6/2021 0:00,10257557,1193381,24081
4/7/2021 0:00,10257557,1193894,24097
4/8/2021 0:00,10257557,1194336,24108
4/9/2021 0:00,10257557,1194835,24120
4/10/2021 0:00,10257557,1195204,24132
4/11/2021 0:00,10257557,1195479,24139
4/12/2021 0:00,10257557,1195991,24144
4/13/2021 0:00,10257557,1196494,24153
4/14/2021 0:00,10257557,1196948,24166
4/15/2021 0:00,10257557,1197347,24176
4/16/2021 0:00,10257557,1197752,24184
4/17/2021 0:00,10257557,1198052,24191
4/18/2021 0:00,10257557,1198312,24202
4/19/2021 0:00,10257557,1198772,24208
4/20/2021 0:00,10257557,1199151,24213
4/21/2021 0:00,10257557,1199498,24226
4/22/2021 0:00,10257557,1199840,24233
4/23/2021 0:00,10257557,1200162,24239
4/24/2021 0:00,10257557,1200432,24247
4/25/2021 0:00,10257557,1200664,24251
4/26/2021 0:00,10257557,1201000,24259
4/27/2021 0:00,10257557,1201329,24267
